1017,34915,941.0851063829789,,34051,395.8659027608462,,
1013,96881,1211.3761329305144,,78,48.80632202398346,,
1001,33618,743.5490196078432,,34092,8493.922077922076,,
1019,46979,1228.4941176470577,,78,48.931693797692326,,
1011,99730,874.545018007208,,34051,395.96420956368877,,
1007,99730,1284.2463054187192,,78,48.83143244298376,,
1009,99730,1273.3403755868546,,34051,395.89521065491886,,
1004,31574,595.7166666666662,,78,46.24644795280513,,
1021,99730,1247.4305772230887,,34051,395.99662588383063,,
1006,329,68.69999999999999,,78,46.12906819602683,,
1012,34915,1052.9147609147622,,34051,3030.2217169900723,,
1016,23223,493.0781250000001,,34051,3030.1734544075257,,
1020,64429,1065.0235042735028,,78,46.27132758740401,,
1014,2360,122.66129032258064,,34051,3030.213958354412,,
1010,99730,860.4175438596499,,78,46.31583480202793,,
1015,99665,852.7864506627408,,34051,395.977475388217,,
1002,99730,952.9158415841605,,34116,3455.260285949849,,
1005,99730,979.4769736842093,,78,48.92043774498081,,
1018,92897,1485.1818181818178,,34051,3030.3373621185924,,
999,-1,0.0,,-1,0.0,,
1003,172,172.0,,34274,6934.619622631259,,
1008,34655,869.4617346938774,,78,46.21024496183373,,
